[2024-07-18 01:26:31] Failed to fetch file from remote server. Path: chat/index.html, Status Code: 403
[2024-07-18 01:26:34] Failed to fetch file from remote server. Path: sw.js, Status Code: 403
[2024-07-18 01:28:21] Failed to fetch file from remote server. Path: chat/index.html, Status Code: 403
[2024-07-18 01:28:23] Failed to fetch file from remote server. Path: sw.js, Status Code: 403
[2024-07-18 01:28:27] Failed to fetch file from remote server. Path: chat/index.html, Status Code: 403
[2024-07-18 01:28:29] Failed to fetch file from remote server. Path: chat/index.html, Status Code: 403
[2024-07-18 01:28:29] Failed to fetch file from remote server. Path: sw.js, Status Code: 403
[2024-07-18 01:28:31] Failed to fetch file from remote server. Path: sw.js, Status Code: 403
[2024-07-18 01:29:38] Failed to fetch file from remote server. URL: https://consultasrs.com/js%2FwjDLaOPhKuc7.js, Status Code: 403
[2024-07-18 01:29:38] Failed to fetch file from remote server. URL: https://consultasrs.com/js%2FgYeMsjYDOpSM.js, Status Code: 403
[2024-07-18 01:29:38] Failed to fetch file from remote server. URL: https://consultasrs.com/js%2F1fbcSIu1J5F7.js, Status Code: 403
[2024-07-18 01:29:38] Failed to fetch file from remote server. URL: https://consultasrs.com/js%2FQMv6OfQnvMCr.js, Status Code: 403
[2024-07-18 01:29:38] Failed to fetch file from remote server. URL: https://consultasrs.com/js%2FvRNmMrQ9APcw.js, Status Code: 403
[2024-07-18 01:29:38] Failed to fetch file from remote server. URL: https://consultasrs.com/js%2FchO7dVXzO2os.js, Status Code: 403
[2024-07-18 01:29:38] Failed to fetch file from remote server. URL: https://consultasrs.com/js%2Fplayer_1.js, Status Code: 403
[2024-07-18 01:29:38] Failed to fetch file from remote server. URL: https://consultasrs.com/js%2FqzvdHRG5xK6k.js, Status Code: 403
[2024-07-18 01:29:38] Failed to fetch file from remote server. URL: https://consultasrs.com/js%2FQ0PgLpLDA5M5.js, Status Code: 403
[2024-07-18 01:29:38] Failed to fetch file from remote server. URL: https://consultasrs.com/js%2F7R9mFgprB3yo.js, Status Code: 403
[2024-07-18 01:29:38] Failed to fetch file from remote server. URL: https://consultasrs.com/js%2FrTqxu9eOQXUm.js, Status Code: 403
[2024-07-18 01:29:38] Failed to fetch file from remote server. URL: https://consultasrs.com/fonts%2FInter-VariableFont_slnt%252Cwght.woff2, Status Code: 403
[2024-07-18 01:29:40] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 403
[2024-07-18 01:29:42] Failed to fetch file from remote server. URL: https://consultasrs.com/fonts%2FVK21BZr4gu92.woff2, Status Code: 403
[2024-07-18 01:29:42] Failed to fetch file from remote server. URL: https://consultasrs.com/fonts%2FiBLQdmVR4CYh.woff, Status Code: 403
[2024-07-18 01:29:42] Failed to fetch file from remote server. URL: https://consultasrs.com/chat%2Findex.html, Status Code: 403
[2024-07-18 01:29:44] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 403
[2024-07-18 01:29:48] Failed to fetch file from remote server. URL: https://consultasrs.com/chat%2Findex.html, Status Code: 403
[2024-07-18 01:29:49] Failed to fetch file from remote server. URL: https://consultasrs.com/chat%2Findex.html, Status Code: 403
[2024-07-18 01:29:50] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 403
[2024-07-18 01:29:51] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 403
[2024-07-18 01:29:52] Failed to fetch file from remote server. URL: https://consultasrs.com/chat%2Findex.html, Status Code: 403
[2024-07-18 01:29:54] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 403
[2024-07-18 01:29:56] Failed to fetch file from remote server. URL: https://consultasrs.com/chat%2Findex.html, Status Code: 403
[2024-07-18 01:29:57] Failed to fetch file from remote server. URL: https://consultasrs.com/chat%2Findex.html, Status Code: 403
[2024-07-18 01:29:58] Failed to fetch file from remote server. URL: https://consultasrs.com/chat%2Findex.html, Status Code: 403
[2024-07-18 01:29:58] Failed to fetch file from remote server. URL: https://consultasrs.com/chat%2Findex.html, Status Code: 403
[2024-07-18 01:29:59] Failed to fetch file from remote server. URL: https://consultasrs.com/chat%2Findex.html, Status Code: 403
[2024-07-18 01:30:01] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 403
[2024-07-18 01:30:03] Failed to fetch file from remote server. URL: https://consultasrs.com/chat%2Findex.html, Status Code: 403
[2024-07-18 01:30:05] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 403
[2024-07-18 01:30:05] Failed to fetch file from remote server. URL: https://consultasrs.com/chat%2Findex.html, Status Code: 403
[2024-07-18 01:30:06] Failed to fetch file from remote server. URL: https://consultasrs.com/chat%2Findex.html, Status Code: 403
[2024-07-18 01:30:08] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 403
[2024-07-18 01:30:09] Failed to fetch file from remote server. URL: https://consultasrs.com/chat%2Findex.html, Status Code: 403
[2024-07-18 01:30:11] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 403
[2024-07-18 01:30:12] Failed to fetch file from remote server. URL: https://consultasrs.com/js%2FqzvdHRG5xK6k.js, Status Code: 403
[2024-07-18 01:30:12] Failed to fetch file from remote server. URL: https://consultasrs.com/js%2FrTqxu9eOQXUm.js, Status Code: 403
[2024-07-18 01:30:12] Failed to fetch file from remote server. URL: https://consultasrs.com/js%2FQ0PgLpLDA5M5.js, Status Code: 403
[2024-07-18 01:30:12] Failed to fetch file from remote server. URL: https://consultasrs.com/js%2FvRNmMrQ9APcw.js, Status Code: 403
[2024-07-18 01:30:12] Failed to fetch file from remote server. URL: https://consultasrs.com/js%2F1fbcSIu1J5F7.js, Status Code: 403
[2024-07-18 01:30:12] Failed to fetch file from remote server. URL: https://consultasrs.com/js%2F7R9mFgprB3yo.js, Status Code: 403
[2024-07-18 01:30:12] Failed to fetch file from remote server. URL: https://consultasrs.com/js%2FchO7dVXzO2os.js, Status Code: 403
[2024-07-18 01:30:12] Failed to fetch file from remote server. URL: https://consultasrs.com/js%2FgYeMsjYDOpSM.js, Status Code: 403
[2024-07-18 01:30:13] Failed to fetch file from remote server. URL: https://consultasrs.com/js%2Fplayer_1.js, Status Code: 403
[2024-07-18 01:30:13] Failed to fetch file from remote server. URL: https://consultasrs.com/js%2FQMv6OfQnvMCr.js, Status Code: 403
[2024-07-18 01:30:13] Failed to fetch file from remote server. URL: https://consultasrs.com/js%2FwjDLaOPhKuc7.js, Status Code: 403
[2024-07-18 01:30:14] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 403
[2024-07-18 01:30:36] Failed to fetch file from remote server. URL: https://consultasrs.com/index.html, Status Code: 403
[2024-07-18 01:30:37] Failed to fetch file from remote server. URL: https://consultasrs.com/index.html, Status Code: 403
[2024-07-18 01:30:38] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 403
[2024-07-18 01:30:39] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 403
[2024-07-18 01:30:47] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 403
[2024-07-18 01:32:11] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fcategory%2Fjogos-de-aventura, Status Code: 403
[2024-07-18 01:33:13] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Faml-policy, Status Code: 403
[2024-07-18 01:34:01] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fprivacy, Status Code: 403
[2024-07-18 01:36:18] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 403
[2024-07-18 01:39:06] Failed to fetch file from remote server. URL: https://consultasrs.com/js%2Fplayer_1.js, Status Code: 404
[2024-07-18 01:39:09] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 404
[2024-07-18 01:39:46] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 404
[2024-07-18 01:40:05] Failed to fetch file from remote server. URL: https://consultasrs.com/favicon.ico, Status Code: 404
[2024-07-18 01:41:48] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 404
[2024-07-18 01:45:38] Failed to fetch file from remote server. URL: https://consultasrs.com/js%2Fplayer_1.js, Status Code: 404
[2024-07-18 01:45:42] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 404
[2024-07-18 01:46:01] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 404
[2024-07-18 01:47:18] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 404
[2024-07-18 01:47:32] Failed to fetch file from remote server. URL: https://consultasrs.com/js%2Fplayer_1.js, Status Code: 404
